Title,Year,Project Number,Type,Programme,Description,Client,Location,Status,Area,Scope,Collaborators
Grebendorf Parish Church,1965,08J,Sacred,Church,,,,Completed,,Architecture,
St. Bonifatius Kindergarten,1992,29,Education,Kindergarten,"The new building of St. Boniface Church's kindergarten in stands out for its design and construction with ecological principles, using natural building materials. Its southern facade features a laminated timber structure with wooden windows and sliding sun protection elements, creating a connection to the adjacent playground. Easily accessible from the first floor, the garden becomes an integral part of the children's experience. Designed to harmonize with the neighboring parish house and church, this kindergarten embodies a commitment to sustainability and child-centric design, fostering a nurturing environment for learning and growth.",Katholische Pfarrei St. Bonifatius,"Bad Sooden-Allendorf, Germany",Completed,,Architecture,
St. Hubertus Sacristy,2004,6,Sacred,Sacristy,"The new sacristy complements the historic ensemble of the churchyard. Its facade, echoing the neighboring parish church in materials and architectural form, envelops the entire structure with a skin of porphyry. A subtle canopy connects the buildings, providing a sheltered passage from the sacristy to the church. By aligning the sacristy parallel to the church's nave, a serene courtyard is formed, offering space for parish gatherings. The courtyard's paving highlights the historical foundations of the church, adding depth to the site's historical significance. This addition not only enhances the architectural harmony of the church complex but also enriches its functionality, providing a welcoming space for congregational activities.",Katholische  Kirchengemeinde St. Hubertus,"Amöneburg, Germany",Completed,,Architecture,
Fuhle 101 Mixed-Use,2020,83,"Office, Commercial","Mixed-Use, Retail, Office, Hotel","Located in Hamburg’s vibrant Barmbek district, this mixed-use building is conceived as a contemporary urban landmark—a place that brings together living, working, and leisure within one cohesive setting. The design accommodates a diverse mix of uses—from retail and dining to offices, a hotel, fitness centre, and neighbourhood garage—creating a daily hub for the surrounding community. Transparency and permeability at street level foster activity and engagement, while upper levels offer a sense of calm and order above the bustle. The masonry façade combines refinement and familiarity, reinterpreting Hamburg’s red-brick tradition through vertical proportions and subtle textural variation. Its layered rhythm gives the building depth and tactility, responding to light and movement throughout the day. A gently set-back volume ensures continuity with neighbouring structures, while generous shopfronts and a sheltered arcade create an inviting public edge—a place that feels both civic and human in scale. It reflects our studio’s belief that good urban architecture balances permanence, openness, and everyday ease—grounded in context and crafted for people.","Development Partner AG,
B&L Gruppe","Hamburg, Germany",Completed,"30,000 m²",Architecture,
St. Isidor Church,2005,10,Sacred,Church,"The church is strategically positioned at the highest point of the site, with its entrance facing the town center. The arrangement of gently expanding walls exudes an inviting ambiance. Together with the tower, they create a sheltered church square. The tower, standing in axial alignment with the church entrance, serves as a beacon, consciously noticed upon entering the foyer. The foyer itself is a tranquil space for reflection, characterized by its height and square layout. The design prioritizes accessibility and serenity, offering visitors a welcoming and contemplative environment from the moment they arrive.",Bistum Fulda Generalvikariat,"Wiesen, Germany",Completed,,Architecture,
Heuberg Church,1966,09J,Sacred,Church,,,,Completed,,Architecture,
Weende Church,1961,06J,Sacred,Church,,,,Completed,,Architecture,
Papiermühlengasse Urban Block,2018,98,"Office, Commercial","Mixed-Use, Residential, Retail","The design is rooted in the urban planning principle of urban blocks, forming the backbone of the city's layout. At our competition site, this principle is enhanced by creating a prominent corner entrance while allowing for open spaces for plazas. The program distribution at the groundfloor focuses on both users and visitors, offering a mix of retail and gastronomy. The landscape and open spaces, guide the users through a space sequence of the main entrance and into the inner courtyard. The courtyard serves as a vibrant and serene green space away from the bustling train station adjecent.",ZANZ Properties,"Dresden, Germany",Competition - First Prize,,Architecture,
St. Theresia Church,1970,10J,Sacred,Church,,,,Completed,,Architecture,
Seminary Chapel,2018,23,"Sacred, Cultural",Chapel,"Set within the historic seminary campus, the Seminary Church serves as a contemporary sanctuary—bridging heritage and modern expression through calm proportion and material clarity. Its pure white form conveys simplicity and reverence, while subtle detailing invites a quiet sense of awe. At the centre lies the stone “carpet”, a symbolic pathway extending from the courtyard into the chapel. This gesture links sacred and everyday space, guiding movement and reflection. Inside, the altar—crafted from Dietfurt limestone—anchors the interior with tactile permanence, expressing the spiritual depth of its ritual purpose. Above, diamond-patterned timber slats diffuse light with warmth and softness, their rhythm harmonising with the glow from expansive glazing. Every tactile element has been crafted in collaboration with local artisans, whose precision and care imbue the space with a grounded calmness. The interplay of stone, wood, and light creates a setting of profound balance—a timeless space for worship, contemplation, and connection.",Priesterseminar und Erzbistum Paderborn,"Paderborn, Germany",Completed,"13,500 m²",Architecture and Interior Design,
Kassel-Calden Airport Terminal,2013,3,Transport,Airport Terminal,"The transformation of the current airfield into a full-fledged airport encompasses several key developments. These include the creation of a new runway and parallel taxiway, alongside essential facilities such as a terminal building, control tower, firefighting stations, and maintenance hangars. Future plans include the provision of a general aviation terminal and a larger commercial zone catering to future aviation needs. This expansion aims to facilitate regular tourist, low-cost, and business flights while bolstering existing commercial activities associated with the airport. The terminal design emphasizes efficiency, featuring a compact two-story structure. Notably, the design allows for potential future expansion, with provisions for extending the building longitudinally on both sides. The terminal layout comprises three levels: Level 0, situated at apron level and accessible from the airside; Level 1, the primary terminal level accessible from landside; and Level 2, accommodating technical and ancillary functions, seamlessly integrated for easy accessibility.",Flughafen GmbH,"Kassel-Calden, Germany",Completed,,Architecture,
QVC Customer Contact Campus,2008,121,Office,Office Campus,"The new QVC Call Center stands as a testament to urban integration and functional design. Nestled between Stern- and Leipziger Streets, its innovative architecture harmonizes with the surrounding cityscape. The building's curved façade and elongated windows not only create a visually striking presence but also maximize natural light and ventilation within. Its strategic location, fosters connectivity and convenience for both employees and visitors. Moreover, the inclusion of an above-ground parking facility addresses practical needs while minimizing disruptions to the urban environment. Inside, an open staircase fosters seamless movement across floors, promoting collaboration and efficiency. Additionally, the second-floor courtyard provides a tranquil retreat for employees, enhancing their well-being and productivity. Overall, the QVC Call Center exemplifies how considered design can elevate urban spaces and enrich the lives of those within them.",QVC eProperty Management,"Kassel, Germany",Completed,"16,500 m²",Architecture,
Primary School Community Hub,2022,155,Education,"School, Kindergarten, Community","Our studio focuses on designing a new community center for an existing primary school, addressing the need for a larger cafeteria, modern kindergarten, and dynamic youth center. Centered on innovation and functionality, our proposal elevates the school campus while setting a new standard for neighborhood infrastructure.Key features include a central gathering space seamlessly integrated with the entrance foyer and the childcare center, providing convenient access to terrace-like outdoor area to be used by the local community. Efficiency is prioritized through prefabricated construction elements, while sustainability is ensured with mineral construction and a hybrid support structure. Throughout the process, adaptability remains paramount, facilitating seamless modifications to meet evolving needs.",Rosengarten Community,"Rosengarten, Germany",Competition - Shortlist,,Architecture,"DREWES + SPETH
IB Hausladen"
Fabric to Form: Lycra Casting Research,2016,01R,Research,Material Research,"The project exploresthe transformation of 2D Lycra patterns into 3D plaster structures, enhancing the understanding of material behavior and structural integrity. This innovative approach demonstrates a unique method of material experimentation, showcasing cutting-edge design techniques. By developing and applying specific stitching patterns to Lycra, the process uses gravitational forces during plaster casting to morph a flat plane into a curved surface. This method controls plaster flow and material deformation, creating aesthetically appealing and structurally sound forms. The investigation involved five explorations of curvature, starting with simple 2D curves and progressing to complex 3D shapes with points of torsion. The project underscores a commitment to pushing the boundaries of traditional design, providing new insights into material capabilities and design.",Research,"London, UK",Completed,,Computational Design and Digital Fabrication,Architectural Association
Homberg Parish Church,1957,03J,Sacred,Church,,,,Completed,,Architecture,
Schiefbahn Monastery Church,1962,07J,Sacred,Church,,,,Completed,,Architecture,
Geometries of Physics: Structural Networks Workshop,2022,04R,Research,Academic Workshop,"Led by our Directors, this academic research workshop starts with a simple premise: How much does your model weigh? How much load can it bear? The objective is to delve into the exploration of intuitive, load-bearing networks, bridging analogue and digital methodologies to innovate in modularity and connectivity. Inspired by historical pioneers such as Gaudí and their gravity-based form-finding methods, participants will begin by experimenting with hanging chain models and load tracing studies to uncover natural structural principles. The discovered networks will then be materialized using techniques rooted in stereotomy, including the use of ruled surfaces, clay block formations, and robotic foam wire cutting. Through iterative stress testing and cataloging, the workshop emphasizes achieving an optimal balance between material efficiency and load capacity. This hands-on exploration lays the groundwork for scalable architectural solutions that challenge conventional construction approaches and celebrate the synergy of physics and design.",Research,"London, UK",Completed,,Computational Design and Digital Fabrication,Architectural Association
St. Bonifatius Church,1957,04J,Sacred,Church,,,,Completed,,Architecture,
Motel One,2014,64,Commercial,Hotel,"The design vision integrates the building seamlessly into the fabric of city's old town, drawing inspiration from the traditional pitched roof typology. Reflecting the intimate scale of the historic center, the building is composed of three adjacent volumes. The pitched roof front facing Markttwiete establishes crucial urban connections between the surrounding streetscape and the town hall square. An elegant two-story arcade, reminiscent of the historic town hall arcade, enhances the streetscape continuity. This configuration strengthens the spatial relationship with the market square, enhancing its prominence. Our design proposes a brick facade featuring a range of textures, from smooth surfaces to intricate three-dimensional arrangements, adding visual interest and depth to the building's profile.",Motel One,"Lübeck, Germany",Competition - Finalist,,Architecture,
Fürstenriedstraße Commercial,2012,190,"Commercial, Office","Retail, Office","At the core of our vision lies the creation a commercial hub that harmonizes with its urban surroundings and meets the diverse needs of a prime retail and office space. The ground level of our new building is embraced by expansive glass panels, inviting in natural light and showcasing vibrant activity within. Above, an array of advertising displays adorns the facade, ensuring visibility and engagement. Meanwhile, a mix of sleek vertical lines and textured metal accents infuse the structure with modern elegance, resonating with the bustling energy of office life on the upper floors. As the building extends into the property, it seamlessly integrates with the surrounding residential landscape. Inside, spacious layouts offer possibilities for adaptable use, ensuring enduring relevance and functionality. By thoughtfully optimizing every space, we maximize the potential for dynamic retail experiences while ensuring a welcoming atmosphere flooded with daylight.",Development Partners and Bucher Properties,"Munich, Germany",Completed,,Architecture,
Schalles House — Mixed-Use,2014,14,"Residential, Commercial","Mixed-Use, Residential, Retail","Amidst the urban fabric, our building emerges as a striking presence, seamlessly integrating with the surrounding architectural context. Encased in a sturdy brick facade, the building exudes solidity and permanence, yet welcomes abundant natural light through expansive windows that illuminate its interiors. On its southern aspect, a glass facade maximizes sunlight across the floors, while inset loggias offer secluded outdoor retreats for residents. Crafted from robust reinforced concrete and masonry, the building's exterior not only lends structural integrity but also fosters adaptability, facilitating a versatile blend of mixed-use spaces. Inside, the office areas are designed for dynamic collaboration, with open layouts tailored to accommodate diverse business needs. Meanwhile, the residential units are thoughtfully curated, offering a range of sizes to accommodate various family configurations, ensuring a comfortable and personalized living experience for all.",W&K Schalles,"Kassel, Germany",Completed,"1,050 m²",Architecture,
Rathgeber Residences,2002,66,Residential,Residential,"The residential new build embodies a harmonious blend of tradition and modernity. By respecting the architectural heritage while introducing contemporary elements, the project adds aesthetic value to the community, enhancing its appeal and character. The development optimizes land use without compromising on quality of life with generous apartments and matching green spaces. The design is characterized by a seamless integration of indoor and outdoor spaces, promoting a sense of connection with nature while ensuring privacy and comfort for residents. The project carefully considers the preservation of existing trees, as a commitment to creating a sustainable and livable environment. The residential new build not only meets the needs of modern living but also enriches the urban fabric of the district.",Franz Barth,"Kassel, Germany",Completed,,Architecture,
Wallhöfe Mixed-Use Quarter,2009,128,"Urban Design, Residential, Hotel","Mixed-Use, Residential, Hotel, Retail","The redevelopment of the area introduces a vibrant mix of living and working spaces. Emphasizing urban blocks, plazas, and streets, the design fosters a dynamic environment for high-quality living and working experiences. Our design strategy aims to revitalize the surrounding urban fabric, restoring the traditional block structure while creating inviting spaces for residents and workers alike. By enclosing outer edges and creating internal pathways, the development prioritizes community interaction and enhances individual living and working environments. The project includes an eleven-story hotel tower with a connecting extension, an office building spanning seven stories, a boardinghouse offering diverse room sizes, and five-story residential buildings surrounding a central square. Ground-level retail further enriches the neighborhood's vibrancy, enhancing the overall quality of life for residents and visitors.","Neuer Steinweg, Deutsche Real Estate and Hamburg Team","Hamburg, Germany",Completed,"39,000 m²",Architecture,
Espenau Church,1957,02J,Sacred,Church,,,,Completed,,Architecture,
Druseltalstraße — Mixed-Use,2007,34,"Residential, Office","Mixed-Use, Residential, Office","The project thrives in its thoughtful design and strategic placement within the urban landscape. By embracing a simple yet elegant cubic form, the volume is a timeless and highly functional. The distinctive elliptical staircase tower not only serves as a focal point but also guides visitors to the main entrance, enhancing the user experience. Moreover, the integration of a standalone community room and residential units offers use versatility, catering to diverse needs within the community. This multifaceted approach enhances the building's utility and contributes to its significance as a hub for both business and residential purposes. Overall, the project's emphasis on practicality, accessibility, and versatility makes it an integral part of the urban fabric.",Private,"Kassel, Germany",Completed,,Architecture,
Crematorium,1993,70,Sacred,Crematorium,"The crematorium project enhances the historical setting of the Kassel Main Cemetery by adding a distinctive yet respectful modern volume. Positioned within the courtyard, it preserves the integrity of the existing layout while introducing a contemporary edge. The design, featuring a translucent facade and symbolic green hues, embodies themes of lightness, hope, and nature, adding depth to its significance. Operating day and night, the building's appearance dynamically evolves with changing daylight, symbolizing the cycle of life and offering solace to visitors. Additionally, the thoughtful integration of illuminated elements symbolizes the transformative journey of remembrance. The strategic placement of weathering steel baffles not only marks entry points but also serves as a subtle guide for visitors, ensuring a compassionate and dignified experience. Overall, this project seamlessly blends modern functionality with timeless symbolism, enriching the cemetery's heritage and providing a comforting space for reflection.",Friedhofsverwaltung Kassel,"Kassel, Germany",Completed,,Architecture,
Hospital Entrance Hall,1999,11,Health,"Hospital Entrance, Café","The entrance hall at the Kassel Hospital stands as a vital link between the city-facing plaza, the serene park surroundings and the larger hospital complex. It not only serves as a welcoming hub and information center but also hosts a café, offering visitors a seamless transition between indoor comfort and outdoor relaxation. Designed with a light and transparent facade, the building embodies an innovative approach to climate control. Its wooden louvers create an enchanting interplay of light and shadow, enhancing the tranquil atmosphere inside. Moreover, the prominent canopy extends a warm invitation to visitors, emphasizing the entrance to the plaza. Guided by a series of elegant steel light columns, guests are effortlessly directed to the heart of the facility, where comfort and convenience converge.",Klinikum Kassel,"Kassel, Germany",Completed,,Architecture,
Bergedorf District,2022,151,"Residential, Commercial, Urban Design","Mixed-Use, Urban Design","The brief seeks an innovative urban development strategy for Bergedorf's central shopping streets, revitalizing currently abandoned spaces. The design proposes a cohesive yet distinctive vision for the 2 plots in question. Drawing inspiration from the existing urban fabric, the proposed buildings maintain a harmonious scale and structure, with additional like public offerings and roof terraces. Ground floors are designed with spacious, open-plan retail areas, acting as an extension of the surrounding park and plazas. The proposed apartment building offers an inner courtyard and rooftop gardens for a serene green spaces for relaxation and play. Enhancements extend beyond the buildings, with urban interventions redesigned to promote connectivity - prioritizing pedestrian comfort and access while maintaining convenience for motorists and cyclists. Kaiser-Wilhelm-Plaza is envisioned as a welcoming green space, complementing the castle garden and offering potential for dining, events, and markets. Through thoughtful urban planning, the project aims to enhance Bergedorf's charm and functionality, creating inviting spaces for residents and visitors alike.",D-H3 and Trei Real Estate in partnership with city of Hamburg,"Bergedorf Hamburg, Germany",Competition - Finalist,,Urban Design and Architecture,Studio Polymorph - Landscape Architecture
Neue Mitte — Urban Renewal,2021,132,"Residential, Urban Design","Urban Design, Residential","The city faces a persistent housing demand amidst limited land availability, our design approch for this brief focuses on revitalizing underutilized areas to help aliviate the current situation. In the South district, the former pension office site stands as a prime candidate for urban renewal - currently vacant and deteriorating, the building awaits transformation. The district's existing structures, including the perimeter block along Frankfurter street and housing developments along Rembrandt street, converge on the site, shaping the vision for the ""New Center"". The proposed disctrict utilizes height variations, public ground floors as well as private courtyards and green spaces, to enhance the quality of living. The district achieves the target metrics while fostering pedestrian connectivity and visual transparency, contributing to a vibrant and cohesive urban fabric.",Nassauische Heimstätte Wohnungs- und Entwicklungsgesellschaft mbH,"Kassel, Germany",Competition - Finalist,,Architecture,
Robotic Fibre-Weaving Canopy,2017,03R,Research,Fabrication Research,"This project investigates the innovative use of robotic fiber weaving in conjunction with flat-packed wood structures. The process begins with on-site assembly of the wood components, utilizing snap-in-place joints to create a precise three-dimensional framework. Within this framework, robotic weaving technology is employed to intricately craft the canopy, translating complex geometries into a cohesive and functional design. The synergy between the flat-packed structure and robotic weaving allows for the creation of efficient, yet aesthetically striking forms that challenge traditional construction practices. By merging material efficiency with structural integrity, this project serves as a foundation for future exploration of scalable, unique architectural solutions, demonstrating the vast potential of robotic fiber weaving in modern design.",Research,"London, UK",Completed,,Computational Design and Digital Fabrication,Architectural Association
Striegel Riverside Mixed-Use,2000,67,"Commercial, Residential","Mixed-Use, Residential, Retail","The residential and commercial complex stands as a pivotal structure in the area, adjacent to the new pedestrian bridge leading to the city center. Its strategic location not only bridges two building lines of differing heights but also symbolizes a connection between urban vibrancy and natural serenity. With deliberate architectural elements, such as the shared natural stone base and carefully positioned openings offering picturesque views of the surrounding landscape, the building encapsulates the essence of harmonizing city living with tranquil riverside allure. Furthermore, its integration of a ground-floor café creates a dynamic social hub, fostering community engagement and enhancing the overall livability of the area. This project not only offers functional spaces but also adds significant value by enriching the urban fabric and fostering a sense of connectivity and vitality in the neighborhood.",Manfred Striegel,"Kassel, Germany",Completed,,Architecture,
Sophienschule Campus,2025,111,Education,School Campus,"The school is imagined as a living learning landscape—a place where education unfolds through movement, encounter, and quiet reflection. Its architecture balances structure and spontaneity, creating spaces that invite curiosity and belonging. A central courtyard forms the heart of the building, linking classrooms and shared areas while drawing nature into everyday life. Inside, an open staircase becomes a vertical commons—part circulation, part stage, part gathering space—encouraging moments of exchange throughout the day. The building’s hybrid timber structure expresses warmth and sustainability, supporting a calm interior defined by natural light, texture, and acoustic comfort. Together, these elements foster a sense of wellbeing that supports both focus and play. At its centre, the Room of Stillness offers a counterpoint—a space for pause and introspection. Inspired by natural grotto formations, its sculpted timber ceiling and enveloping wooden surfaces create an immersive, meditative environment where students and teachers can retreat and reconnect. The result is a school that feels alive, generous, and deeply human—a place that learns and grows alongside its community.",Erzbistum Hamburg,"Hamburg, Germany",Under Construction,"5,700 m²",Architecture and Interior Design,WES - Landscape Architecture
